fixture_id,B365H,B365D,B365A
65,1.57,3.9,7.5
66,3.9,3.5,2.04
67,1.9,3.6,4.5
68,2.5,3.4,3
69,6.5,4,1.61
70,2.37,3.2,3.4
71,2.37,3.3,3.3
72,1.25,6.5,14
73,1.85,3.5,5
74,4,3.8,1.95
75,3.25,3.1,2.54
76,2.45,3.1,3.4
77,1.9,3.5,4.75
78,2.04,3.5,3.9
79,1.28,6,12
80,2.1,3.6,3.7
81,1.8,4,4.5
82,1.1,13,26
83,5.5,3.6,1.75
84,7,5,1.44
85,11,6.5,1.28
86,1.36,5.5,9
87,2.62,3.6,2.75
88,2,3.4,4.33
89,2.37,3,3.7
90,2.45,3.2,3.25
91,1.16,8.5,19
92,2.6,3.25,3
93,5.75,4,1.66
94,2.62,3.3,2.9
95,7.5,5,1.44
96,2.3,3.4,3.4
97,6,3.75,1.7
98,1.3,6,11
99,2,3.5,4.2
100,1.53,4.2,7.5
101,2.6,3.4,2.87
102,1.11,11,26
103,6.5,4.33,1.57
104,5.5,4.2,1.64
105,3,3.6,2.4
106,2.45,3.5,3
107,1.18,8,19
108,3.3,3.1,2.5
109,1.12,10,26
110,4.2,3.8,1.9
111,4.33,3.6,1.95
112,1.75,3.6,5.75
113,2,3.75,3.9
114,2.1,3.4,3.9
115,2.54,3.5,2.9
116,3,3.4,2.5
117,23,8,1.16
118,2.14,3.4,3.75
119,1.61,4,6.5
120,1.2,7.5,17
121,1.57,4.33,6.5
122,5,4,1.75
123,6,4.5,1.57
124,1.44,5,7.5
125,4.5,3.8,1.85
126,1.44,5.1,7
127,1.75,4.2,4.75
128,8.5,4.5,1.44
129,1.1,12,34
130,2.6,3.3,3
131,1.8,3.6,5.25
132,2.8,3.6,2.54
133,2.62,3,3.2
134,2.25,3.5,3.4
135,2.7,3.3,2.87
136,2.14,3.1,4.2
137,3,3.2,2.62
138,5.25,4.33,1.66
139,2.2,3.4,3.6
140,2.54,3.6,2.8
141,1.44,4.5,9
142,6,4.1,1.61
143,1.22,7,15
144,2.14,3.6,3.5
145,1.53,4.5,6.5
146,2.04,3.7,3.75
147,2.5,3.5,2.95
148,1.75,3.8,5.25
149,1.85,3.6,4.75
150,11,5.5,1.33
151,1.08,13,34
152,2.2,3.25,3.8
153,4.1,3.9,1.9
154,1.75,3.75,5.25
155,3.2,3.2,2.5
156,11,5,1.36
157,4.75,4.1,1.75
158,2.9,3.75,2.4
159,2.1,3.5,3.8
160,1.11,11,26
161,1.72,3.9,5.25
162,2.1,3.4,3.9
163,4.75,4.1,1.75
164,1.75,3.75,5.25
165,3.9,3.9,1.95
166,3.6,3.7,2.1
167,3.8,3.4,2.14
168,1.25,6.75,13
169,1.61,4,6.5
170,2.3,3.5,3.3
171,1.11,11,29
172,2.75,3.25,2.8
173,1.75,3.75,5.25
174,3.1,3.4,2.45
175,1.66,4.2,5.25
176,2.6,3.1,3.1
177,1.4,5.25,8.5
178,4.5,3.75,1.85
179,3.4,3.25,2.35
180,1.5,4.33,8
181,1.11,11,26
182,1.4,5.25,8.5
183,2.9,3.4,2.6
184,2.5,3.3,3.1
185,3.5,3.75,1.95
186,2.9,3.4,2.6
187,2.9,3.2,2.75
188,1.4,5,9
189,2.62,3.5,2.8
190,1.4,5.25,8
191,2.8,3.5,2.6
192,6.5,4.33,1.55
193,13,6.5,1.25
194,1.5,4.33,8
195,2.62,3.6,2.75
196,3.8,3.25,2.2
197,1.18,8,17
198,1.61,3.9,6.5
199,2.5,3,3.4
200,2.25,3.3,3.6
201,1.4,5,9
202,1.11,11,26
203,2.5,3.3,3.1
204,4.33,3.6,1.95
205,1.66,3.8,6
206,3,3.1,2.7
207,14,5.75,1.28
208,3,3.5,2.45
209,11,6,1.3
210,1.66,4,5.75
211,5,3.75,1.8
212,2.45,3.5,3
213,1.6,4,6.5
214,1.36,5.25,9.5
215,1.28,6,12
216,5.75,4.5,1.6
217,2.9,3.2,2.75
218,2.9,3.25,2.7
219,4,3.8,1.95
220,1.8,3.75,5
221,3.8,3.75,2
222,1.33,5.75,10
223,2.9,3.2,2.7
224,2.3,3.4,3.4
225,7.5,4.5,1.5
226,2.62,3.2,3
227,2.9,3.6,2.5
228,2.6,3.1,3.1
229,1.57,4.5,6
230,1.22,7.5,13
231,4.1,3.9,1.9
232,1.18,8,19
233,1.64,3.9,6
234,1.95,3.6,4.33
235,1.25,6.5,15
236,1.9,3.7,4.33
237,6.5,4.2,1.57
238,1.33,5.5,11
239,3.25,3.5,2.3
240,3.1,3.1,2.6
241,1.14,10,21
242,2,3.6,4
243,2.37,3.5,3.1
244,7,4,1.57
245,5.25,3.9,1.72
246,4.33,3.5,1.95
247,1.66,4,5.75
248,3.25,3.4,2.37
249,9.5,5.25,1.36
250,1.16,8.5,19
251,1.25,6.5,15
252,2.3,3.5,3.3
253,1.36,5.5,9
254,5.25,3.8,1.75
255,3.25,3.4,2.14
256,3.3,3.2,2.25
257,4.75,4,1.66
258,2,3.4,3.75
259,1.55,4,6
260,1.5,4.5,5.75
261,1.33,4.75,10
262,10,5.25,1.3
263,1.33,5,8.5
264,1.85,3.6,4
265,1.33,5.75,9.5
266,2.6,3.6,2.75
267,7.5,4.5,1.5
268,1.28,6.5,11
269,2,3.5,4.2
270,2.14,3.1,4.2
271,2.04,3.8,3.6
272,6,4.2,1.61
273,1.95,3.75,4
274,2,3.4,4.33
275,11,6,1.3
276,2.4,3.3,3.25
277,2.25,3.25,3.6
278,1.22,7,15
279,2.25,3.4,3.5
280,1.75,4,4.8
281,1.95,3.5,4.33
282,1.18,8,17
